SegIndex,t in s,t_seg in s,f in Hz,G' in Pa,"G"" in Pa",|η*| in mPas,ɣ in %,T in °C
1|1,240.5180054,59.99000549,0.1000000015,9598.422852,452.6200562,15293339.84,0.05203448818,37.000177
1|2,288.1650085,107.6370087,0.1258925498,9673.071289,392.8204651,12238897.46,0.05164963659,37.00081787
1|3,326.0119934,145.4839935,0.1584893167,9771.529297,417.3753662,9821515.625,0.05112533108,37.00005493
1|4,356.072998,175.5449982,0.1995262355,9826.803711,435.5438232,7846185.059,0.05083349533,36.99907837
1|5,379.9500122,199.4220123,0.2511886358,9855.397461,408.2047424,6249805.664,0.05069454201,37.00036011
1|6,398.9119873,218.3839874,0.3162277639,9885.96875,403.8384399,4979679.688,0.05053935456,37.00078735
1|7,413.9729919,233.4449921,0.3981072009,9921.658203,419.7237549,3970019.287,0.05035993527,37.00112305
1|8,445.8880005,265.3599854,0.5011872053,10011.12695,405.3995667,3181697.51,0.04991701571,36.99996338
1|9,471.2340088,290.7059937,0.630957365,10065.16699,423.7285461,2541122.559,0.04965773551,36.99990234
1|10,491.3670044,310.8389893,0.7943283319,10090.1377,422.6941223,2023475.342,0.04955184413,36.99907837
1|11,507.355011,326.8270264,1,10159.14648,431.6906433,1618337.402,0.0492310035,37.00197754
1|12,520.0540161,339.526001,1.258925438,10219.56738,439.5743713,1293165.161,0.04897318431,37.00103149
1|13,530.1380005,349.6099854,1.584893346,10274.58008,453.1036072,1032775.879,0.04877176252,37.00020752
1|14,538.1459961,357.617981,1.995262623,10346.94141,474.8128662,826206.9092,0.04850658297,37.00042114
1|15,544.5059814,363.9779663,2.511886358,10395.49219,494.5503235,659410.8887,0.04841412301,37.00002441
1|16,549.5549927,369.0269775,3.162277699,10447.89258,515.8878784,526474.7925,0.04838698078,37.00081787
1|17,553.5629883,373.0349731,3.981071949,10513.17188,526.7363892,420821.8384,0.04843240895,36.99953613
1|18,560.9349976,380.4069824,5.011872768,10588.38965,555.5403442,336702.9724,0.04863676731,36.99898682
1|19,566.7890015,386.2609863,6.309574604,10656.22168,593.6221313,269213.0432,0.04921377404,36.99978027
1|20,571.4370117,390.9089966,7.943282127,10724.62109,628.6841431,215251.9073,0.05036270013,36.99956665
1|21,575.1270142,394.598999,10,10818.0332,660.5917969,172495.0562,0.05239203456,36.99950562
1|22,578.0549927,397.5269775,12.58925819,10903.66602,706.6143799,138134.6436,0.0563604699,36.99889526
1|23,580.3790283,399.8510132,15.84893322,10968.37207,748.6993408,110400.6577,0.06465368206,37.00045166
1|24,582.223999,401.6959839,19.95262146,11021.39551,767.7710571,88126.80054,0.08503871504,37.00136719
1|25,585,404.4719849,25.11886978,11064.51465,746.9803467,70265.13672,0.1709118951,36.9999939
1|26,587.2039795,406.6759644,31.62277603,11113.43848,622.1182251,56020.6337,0.2391947433,37.00014648
1|27,588.9520264,408.4240112,39.81072998,11134.68066,300.2601318,44530.29633,0.05239574821,37.00048218
