SegIndex,Fn in N,η in mPas,h in mm,t in s,t_seg in s
1|1,1.078847647,0,1.288603409,30.94199944,0.01499938965
1|2,1.077867627,0,1.287703402,30.95199966,0.02499961853
1|3,1.076488137,0,1.286753337,30.96199989,0.03499984741
1|4,1.072729945,0,1.285653445,30.97200012,0.04500007629
1|5,1.070448995,0,1.285003382,30.98200035,0.05500030518
1|6,1.0680902,0,1.284353435,30.99200058,0.06500053406
1|7,1.063697815,0,1.283853431,31.00200081,0.07500076294
1|8,1.061812878,0,1.28365343,31.01199913,0.08499908447
1|9,1.060133576,0,1.283553429,31.02199936,0.09499931335
1|10,1.057426929,0,1.28300325,31.03199959,0.1049995422
1|11,1.056477904,0,1.282203244,31.04199982,0.1149997711
1|12,1.055827022,0,1.281503239,31.05200005,0.125
1|13,1.055446506,0,1.280753291,31.06200027,0.1350002289
1|14,1.055576086,0,1.279853284,31.0720005,0.1450004578
1|15,1.056154013,0,1.279203221,31.08200073,0.1550006866
1|16,1.057082295,0,1.278803218,31.09199905,0.1649990082
1|17,1.059890151,0,1.278653275,31.10199928,0.1749992371
1|18,1.06167841,0,1.278403099,31.11199951,0.1849994659
1|19,1.063704729,0,1.277903211,31.12199974,0.1949996948
1|20,1.068291306,0,1.277203206,31.13199997,0.2049999237
1|21,1.07079649,0,1.276503201,31.1420002,0.2150001526
1|22,1.073436379,0,1.275753137,31.15200043,0.2250003815
1|23,1.079233885,0,1.275003189,31.16200066,0.2350006104
1|24,1.082387686,0,1.274403185,31.17200089,0.2450008392
1|25,1.085685372,0,1.274053124,31.18199921,0.2549991608
1|26,1.089152575,0,1.273903181,31.19199944,0.2649993896
1|27,1.096433759,0,1.273653121,31.20199966,0.2749996185
1|28,1.100160718,0,1.273153117,31.21199989,0.2849998474
1|29,1.10391283,0,1.272453112,31.22200012,0.2950000763
1|30,1.111453295,0,1.271652989,31.23200035,0.3050003052
1|31,1.115287423,0,1.270852983,31.24200058,0.3150005341
1|32,1.119162321,0,1.270003035,31.25200081,0.3250007629
1|33,1.127148986,0,1.26940303,31.26199913,0.3349990845
1|34,1.13125968,0,1.269053086,31.27199936,0.3449993134
1|35,1.135416269,0,1.268953085,31.28199959,0.3549995422
1|36,1.139600992,0,1.268653083,31.29199982,0.3649997711
1|37,1.147984743,0,1.268053078,31.30200005,0.375
1|38,1.152182341,0,1.267253072,31.31200027,0.3850002289
1|39,1.156389713,0,1.266402891,31.3220005,0.3950004578
1|40,1.164880872,0,1.26515294,31.33699989,0.4099998474
1|41,1.173621178,0,1.264452934,31.34700012,0.4200000763
1|42,1.178117156,0,1.26395293,31.35700035,0.4300003052
1|43,1.18268466,0,1.263752929,31.36700058,0.4400005341
1|44,1.191820621,0,1.26360287,31.37700081,0.4500007629
1|45,1.19635129,0,1.263052924,31.38699913,0.4599990845
1|46,1.200836301,0,1.262402977,31.39699936,0.4699993134
1|47,1.205246568,0,1.261652913,31.40699959,0.4799995422
1|48,1.213842273,0,1.260802965,31.41699982,0.4899997711
1|49,1.218106151,0,1.260002959,31.42700005,0.5
1|50,1.22240901,0,1.259302837,31.43700027,0.5100002289
1|51,1.231230736,0,1.258902834,31.4470005,0.5200004578
1|52,1.235716343,0,1.258702832,31.45700073,0.5300006866
1|53,1.240240097,0,1.258452772,31.46699905,0.5399990082
1|54,1.249155521,0,1.258002827,31.47699928,0.5499992371
1|55,1.25349462,0,1.257302822,31.48699951,0.5599994659
1|56,1.257763863,0,1.256602816,31.49699974,0.5699996948
1|57,1.26194489,0,1.255852752,31.50699997,0.5799999237
1|58,1.270240188,0,1.255102805,31.5170002,0.5900001526
1|59,1.274414778,0,1.254452858,31.52700043,0.6000003815
1|60,1.278596878,0,1.254052739,31.53700066,0.6100006104
1|61,1.287112832,0,1.253902679,31.54700089,0.6200008392
1|62,1.291383505,0,1.253652736,31.55699921,0.6299991608
1|63,1.295616508,0,1.253202674,31.56699944,0.6399993896
1|64,1.303979754,0,1.252552727,31.57699966,0.6499996185
1|65,1.308095694,0,1.251752721,31.58699989,0.6599998474
1|66,1.312160134,0,1.250952715,31.59700012,0.6700000763
1|67,1.316203356,0,1.250202651,31.60700035,0.6800003052
1|68,1.324380755,0,1.249552588,31.61700058,0.6900005341
1|69,1.328580499,0,1.249102526,31.62700081,0.7000007629
1|70,1.332817674,0,1.248952583,31.63699913,0.7099990845
1|71,1.341285944,0,1.248702523,31.64699936,0.7199993134
1|72,1.345487714,0,1.248152577,31.65699959,0.7299995422
1|73,1.349672914,0,1.247352688,31.66699982,0.7399997711
1|74,1.35801506,0,1.246552682,31.67700005,0.75
1|75,1.362226605,0,1.245702733,31.68700027,0.7600002289
1|76,1.366459012,0,1.244902727,31.6970005,0.7700004578
1|77,1.375186205,0,1.244302723,31.70700073,0.7800006866
1|78,1.379726887,0,1.24390272,31.71699905,0.7899990082
1|79,1.384371996,0,1.243802719,31.72699928,0.7999992371
1|80,1.389099598,0,1.243452542,31.73699951,0.8099994659
1|81,1.398524404,0,1.242902596,31.74699974,0.8199996948
1|82,1.403134108,0,1.242102589,31.75699997,0.8299999237
1|83,1.407649755,0,1.241302583,31.7670002,0.8400001526
1|84,1.416540146,0,1.240452519,31.77700043,0.8500003815
1|85,1.421007156,0,1.239702571,31.78700066,0.8600006104
1|86,1.425559998,0,1.239102567,31.79700089,0.8700008392
1|87,1.434973717,0,1.238802564,31.80699921,0.8799991608
1|88,1.439776063,0,1.238702564,31.81699944,0.8899993896
1|89,1.444576502,0,1.238352619,31.82699966,0.8999996185
1|90,1.454077721,0,1.237452496,31.84199905,0.9149990082
1|91,1.458726525,0,1.236702432,31.85199928,0.9249992371
1|92,1.467877507,0,1.236002427,31.86199951,0.9349994659
1|93,1.472445965,0,1.235252479,31.87199974,0.9449996948
1|94,1.477029085,0,1.234902418,31.88199997,0.9549999237
1|95,1.486293077,0,1.234602416,31.8920002,0.9650001526
1|96,1.490913153,0,1.234452473,31.90200043,0.9750003815
1|97,1.495490074,0,1.234302414,31.91200066,0.9850006104
1|98,1.504384398,0,1.234202296,31.92200089,0.9950008392
2|1,1.498283148,0,1.233852119,32.29700089,0.01499938965
2|2,1.495095611,0,1.234052121,32.30699921,0.02499771118
2|3,1.493501544,0,1.234502182,32.31700134,0.03499984741
