SegIndex,Fn in N,η in mPas,h in mm,t in s,t_seg in s
1|1,0.4945220947,0,1.693451661,90.80899811,0.01499938965
1|2,0.4945243597,0,1.693301601,90.81900024,0.02500152588
1|3,0.4946632087,0,1.692201593,90.82900238,0.03500366211
1|4,0.4949453473,0,1.690451638,90.83899689,0.04499816895
1|5,0.496481359,0,1.688801683,90.84899902,0.05500030518
1|6,0.4978727102,0,1.68840168,90.85900116,0.06500244141
1|7,0.4996002316,0,1.687251613,90.8690033,0.07500457764
1|8,0.5042020082,0,1.685401658,90.8789978,0.08499908447
1|9,0.5071414709,0,1.683601644,90.88899994,0.0950012207
1|10,0.5105237365,0,1.68310164,90.89900208,0.1050033569
1|11,0.5142246485,0,1.682201633,90.90899658,0.1149978638
1|12,0.522482574,0,1.68050162,90.91899872,0.125
1|13,0.5271337032,0,1.678751665,90.92900085,0.1350021362
1|14,0.5321567059,0,1.678151661,90.93900299,0.1450042725
1|15,0.5429701805,0,1.677401597,90.9489975,0.1549987793
1|16,0.5486437678,0,1.675951644,90.95899963,0.1650009155
1|17,0.5545220971,0,1.674301806,90.96900177,0.1750030518
1|18,0.5668612719,0,1.6735018,90.97899628,0.1849975586
1|19,0.5731980801,0,1.672801794,90.98899841,0.1949996948
1|20,0.5795892477,0,1.671301783,90.99900055,0.2050018311
1|21,0.5861385465,0,1.669501886,91.00900269,0.2150039673
1|22,0.5996453166,0,1.668551937,91.01899719,0.2249984741
1|23,0.6065247059,0,1.667951932,91.02899933,0.2350006104
1|24,0.6134417057,0,1.666451921,91.03900146,0.2450027466
1|25,0.6275557876,0,1.664451906,91.0490036,0.2550048828
1|26,0.6348552704,0,1.663351897,91.05899811,0.2649993896
1|27,0.6422431469,0,1.662901836,91.06900024,0.2750015259
1|28,0.6571621299,0,1.661501825,91.07900238,0.2850036621
1|29,0.664794445,0,1.65975187,91.08899689,0.2949981689
1|30,0.6725685596,0,1.658501918,91.09899902,0.3050003052
1|31,0.6883019805,0,1.658051857,91.10900116,0.3150024414
1|32,0.6961677074,0,1.656801905,91.1190033,0.3250045776
1|33,0.7040320635,0,1.655151835,91.1289978,0.3349990845
1|34,0.7119124532,0,1.653851825,91.13899994,0.3450012207
1|35,0.7277041078,0,1.653401996,91.14900208,0.3550033569
