,t in s,t_seg in s,f in Hz,G' in Pa,"G"" in Pa",|η*| in mPas,ɣ in %,T in °C,----
1|1,241.9,59.99,0.1,17130,1299,27350000,0.0291,37, 
1|2,289.5,107.6,0.1259,17150,1223,21730000,0.02909,37, 
1|3,327.4,145.5,0.1585,17450,1117,17560000,0.02859,37, 
1|4,357.4,175.5,0.1995,17430,1030,13930000,0.02864,37, 
1|5,381.3,199.4,0.2512,17580,920.8,11160000,0.0284,37, 
1|6,400.3,218.4,0.3162,17760,891.9,8950000,0.02812,37, 
1|7,415.3,233.4,0.3981,17810,845.4,7129000,0.02804,37, 
1|8,447.3,265.4,0.5012,17830,806.4,5666000,0.02802,37, 
1|9,472.6,290.7,0.631,17880,792.5,4515000,0.02794,37, 
1|10,492.7,310.8,0.7943,17950,812.6,3599000,0.02785,37, 
1|11,508.7,326.8,1,18070,824.7,2880000,0.02765,37, 
1|12,521.4,339.5,1.259,18140,846.8,2295000,0.02757,37, 
1|13,531.5,349.6,1.585,18250,890.6,1834000,0.02742,37, 
1|14,539.5,357.6,1.995,18390,946.2,1469000,0.02722,37, 
1|15,545.9,364,2.512,18500,1026,1174000,0.0271,37, 
1|16,550.9,369,3.162,18570,1112,936200,0.02706,37, 
1|17,554.9,373,3.981,18720,1184,749900,0.02694,37, 
1|18,562.3,380.4,5.012,18870,1340,600800,0.02689,37, 
1|19,568.2,386.3,6.31,19100,1458,483200,0.02681,37, 
1|20,572.8,390.9,7.943,19220,1527,386400,0.02707,37, 
1|21,576.5,394.6,10,19430,1632,310300,0.02746,37, 
1|22,579.4,397.5,12.59,19600,1782,248800,0.02835,37, 
1|23,581.7,399.9,15.85,19840,1914,200200,0.02997,37, 
1|24,583.6,401.7,19.95,20020,2065,160500,0.03341,37, 
1|25,586.4,404.5,25.12,20210,2190,128800,0.04111,37, 
1|26,588.6,406.7,31.62,20150,2246,102100,0.0675,37, 
1|27,590.3,408.4,39.81,19590,2290,78860,0.1886,37, 
1|28,591.7,409.8,50.12,20190,1366,64270,0.03952,37, 
1|29,592.8,410.9,63.1,20530,799.9,51810,0.01591,37, 
1|30,593.7,411.8,79.43,19290,1577,38780,0.00793,37, 
1|31,594.4,412.5,100,17620,1616,28160,0.004419,37, 
