SegIndex,Fn in N,h in mm,t in s,t_seg in s
1|1,0.47,12.48,0.01,0.01
1|2,0.47,12.47,0.02,0.02
1|3,0.48,12.46,0.03,0.03
1|4,0.48,12.45,0.05,0.05
1|5,0.48,12.43,0.06,0.06
1|6,0.49,12.41,0.07,0.07
1|7,0.49,12.39,0.08,0.08
1|8,0.50,12.37,0.09,0.09
1|9,0.50,12.34,0.09,0.09
1|10,0.51,12.31,0.10,0.10
1|11,0.52,12.28,0.11,0.11
1|12,0.53,12.26,0.13,0.13
1|13,0.55,12.23,0.14,0.14
1|14,0.56,12.20,0.15,0.15
1|15,0.57,12.17,0.16,0.16
1|16,0.60,12.15,0.17,0.17
1|17,0.61,12.12,0.18,0.18
1|18,0.62,12.09,0.18,0.18
1|19,0.64,12.06,0.19,0.19
1|20,0.67,12.03,0.20,0.20
1|21,0.68,12.01,0.22,0.22
1|22,0.70,11.98,0.23,0.23
1|23,0.73,11.95,0.24,0.24
1|24,0.75,11.92,0.25,0.25
1|25,0.76,11.90,0.26,0.26
1|26,0.80,11.87,0.26,0.26
1|27,0.82,11.84,0.27,0.27
1|28,0.83,11.81,0.28,0.28
1|29,0.87,11.78,0.30,0.30
1|30,0.89,11.76,0.31,0.31
1|31,0.91,11.73,0.32,0.32
1|32,0.93,11.70,0.33,0.33
1|33,0.96,11.67,0.34,0.34
1|34,0.98,11.65,0.34,0.34
1|35,1.00,11.62,0.35,0.35
1|36,1.04,11.59,0.36,0.36
1|37,1.06,11.56,0.38,0.38
1|38,1.08,11.53,0.39,0.39
1|39,1.12,11.51,0.40,0.40
1|40,1.14,11.47,0.41,0.41
1|41,1.19,11.44,0.42,0.42
1|42,1.21,11.41,0.43,0.43
1|43,1.23,11.38,0.44,0.44
1|44,1.27,11.35,0.45,0.45
1|45,1.29,11.33,0.46,0.46
1|46,1.31,11.30,0.47,0.47
1|47,1.36,11.27,0.48,0.48
1|48,1.38,11.24,0.49,0.49
1|49,1.40,11.22,0.50,0.50
1|50,1.44,11.19,0.51,0.51
1|51,1.47,11.16,0.52,0.52
1|52,1.49,11.13,0.53,0.53
1|53,1.51,11.11,0.54,0.54
1|54,1.55,11.08,0.55,0.55
1|55,1.58,11.05,0.56,0.56
1|56,1.60,11.02,0.57,0.57
1|57,1.65,10.99,0.58,0.58
1|58,1.67,10.97,0.59,0.59
1|59,1.69,10.94,0.60,0.60
1|60,1.74,10.91,0.61,0.61
1|61,1.77,10.88,0.62,0.62
1|62,1.79,10.86,0.63,0.63
1|63,1.82,10.83,0.64,0.64
1|64,1.86,10.80,0.65,0.65
1|65,1.89,10.77,0.66,0.66
1|66,1.91,10.75,0.67,0.67
1|67,1.96,10.72,0.68,0.68
1|68,1.99,10.69,0.69,0.69
1|69,2.02,10.66,0.70,0.70
1|70,2.07,10.63,0.71,0.71
1|71,2.09,10.61,0.72,0.72
1|72,2.12,10.58,0.73,0.73
1|73,2.15,10.55,0.74,0.74
1|74,2.20,10.52,0.75,0.75
1|75,2.23,10.50,0.76,0.76
1|76,2.26,10.47,0.77,0.77
1|77,2.31,10.44,0.78,0.78
1|78,2.34,10.41,0.79,0.79
1|79,2.37,10.39,0.80,0.80
1|80,2.43,10.36,0.81,0.81
1|81,2.46,10.33,0.82,0.82
1|82,2.49,10.30,0.83,0.83
1|83,2.52,10.27,0.84,0.84
1|84,2.58,10.25,0.85,0.85
1|85,2.61,10.22,0.86,0.86
1|86,2.64,10.19,0.87,0.87
1|87,2.70,10.16,0.88,0.88
1|88,2.73,10.14,0.89,0.89
1|89,2.76,10.11,0.90,0.90
1|90,2.82,10.08,0.92,0.92
1|91,2.89,10.06,0.93,0.93
1|92,2.92,10.04,0.93,0.93
1|93,2.95,10.03,0.94,0.94
1|94,2.98,10.02,0.95,0.95
1|95,3.03,10.01,0.97,0.97
1|96,3.05,10.00,0.98,0.98
1|97,3.08,10.00,0.99,0.99
1|98,3.12,10.00,1.00,1.00
2|1,3.20,9.99,1.01,0.01
2|2,3.19,9.99,1.02,0.02
2|3,3.18,10.00,1.03,0.03
2|4,3.17,10.00,1.05,0.05
2|5,3.16,10.02,1.06,0.06
2|6,3.13,10.03,1.07,0.07
2|7,3.12,10.05,1.08,0.08
2|8,3.10,10.07,1.09,0.09
2|9,3.08,10.09,1.09,0.09
2|10,3.04,10.12,1.10,0.10
2|11,3.01,10.15,1.11,0.11
2|12,2.98,10.18,1.13,0.13
2|13,2.92,10.21,1.14,0.14
2|14,2.88,10.23,1.15,0.15
2|15,2.85,10.26,1.16,0.16
2|16,2.77,10.29,1.17,0.17
2|17,2.72,10.32,1.17,0.17
2|18,2.68,10.34,1.18,0.18
2|19,2.64,10.37,1.19,0.19
2|20,2.55,10.40,1.20,0.20
2|21,2.50,10.43,1.22,0.22
2|22,2.45,10.45,1.23,0.23
2|23,2.36,10.48,1.24,0.24
2|24,2.31,10.51,1.25,0.25
2|25,2.27,10.54,1.25,0.25
2|26,2.17,10.57,1.26,0.26
2|27,2.13,10.59,1.27,0.27
2|28,2.08,10.62,1.28,0.28
2|29,2.04,10.65,1.30,0.30
2|30,1.95,10.68,1.31,0.31
2|31,1.90,10.70,1.32,0.32
2|32,1.86,10.73,1.33,0.33
2|33,1.78,10.76,1.34,0.34
2|34,1.74,10.79,1.34,0.34
2|35,1.69,10.82,1.35,0.35
2|36,1.62,10.84,1.36,0.36
2|37,1.58,10.87,1.38,0.38
2|38,1.54,10.90,1.39,0.39
2|39,1.47,10.93,1.40,0.40
2|40,1.43,10.97,1.41,0.41
2|41,1.36,10.99,1.42,0.42
2|42,1.33,11.02,1.43,0.43
2|43,1.30,11.05,1.44,0.44
2|44,1.23,11.08,1.45,0.45
2|45,1.20,11.11,1.46,0.46
2|46,1.17,11.13,1.47,0.47
2|47,1.11,11.16,1.48,0.48
2|48,1.08,11.19,1.49,0.49
2|49,1.05,11.22,1.50,0.50
2|50,1.00,11.24,1.51,0.51
2|51,0.97,11.27,1.52,0.52
2|52,0.95,11.30,1.53,0.53
2|53,0.92,11.33,1.54,0.54
2|54,0.87,11.35,1.55,0.55
2|55,0.84,11.38,1.56,0.56
2|56,0.82,11.41,1.57,0.57
2|57,0.77,11.44,1.58,0.58
2|58,0.75,11.47,1.59,0.59
2|59,0.73,11.49,1.60,0.60
2|60,0.69,11.52,1.61,0.61
2|61,0.67,11.55,1.62,0.62
2|62,0.65,11.58,1.63,0.63
2|63,0.63,11.60,1.64,0.64
2|64,0.59,11.63,1.65,0.65
2|65,0.57,11.66,1.66,0.66
2|66,0.55,11.69,1.67,0.67
2|67,0.51,11.71,1.68,0.68
2|68,0.49,11.74,1.69,0.69
2|69,0.48,11.77,1.70,0.70
2|70,0.44,11.80,1.71,0.71
2|71,0.43,11.83,1.72,0.72
2|72,0.41,11.85,1.73,0.73
2|73,0.40,11.88,1.74,0.74
2|74,0.36,11.91,1.75,0.75
2|75,0.35,11.94,1.76,0.76
2|76,0.34,11.96,1.77,0.77
2|77,0.31,11.99,1.78,0.78
2|78,0.29,12.02,1.79,0.79
2|79,0.28,12.05,1.80,0.80
2|80,0.25,12.08,1.81,0.81
2|81,0.24,12.10,1.82,0.82
2|82,0.23,12.13,1.83,0.83
2|83,0.21,12.16,1.84,0.84
2|84,0.19,12.19,1.85,0.85
2|85,0.18,12.21,1.86,0.86
2|86,0.17,12.24,1.87,0.87
2|87,0.15,12.27,1.88,0.88
2|88,0.14,12.30,1.89,0.89
2|89,0.12,12.33,1.90,0.90
2|90,0.10,12.37,1.92,0.92
2|91,0.08,12.39,1.92,0.92
2|92,0.08,12.41,1.93,0.93
2|93,0.07,12.43,1.94,0.94
2|94,0.06,12.44,1.95,0.95
2|95,0.05,12.46,1.97,0.97
2|96,0.04,12.47,1.98,0.98
2|97,0.04,12.47,1.99,0.99
2|98,0.03,12.47,2.00,1.00
3|1,0.02,12.48,2.01,0.02
3|2,0.02,12.48,2.02,0.03
3|3,0.03,12.47,2.03,0.03
3|4,0.03,12.47,2.04,0.05
3|5,0.04,12.46,2.05,0.06
3|6,0.04,12.44,2.06,0.07
3|7,0.05,12.42,2.07,0.08
3|8,0.06,12.40,2.08,0.09
3|9,0.07,12.38,2.09,0.10
3|10,0.08,12.35,2.10,0.11
3|11,0.09,12.33,2.11,0.12
3|12,0.10,12.30,2.12,0.13
3|13,0.12,12.27,2.13,0.14
3|14,0.14,12.24,2.14,0.15
3|15,0.15,12.21,2.15,0.16
3|16,0.16,12.19,2.16,0.17
3|17,0.19,12.16,2.17,0.18
3|18,0.21,12.13,2.18,0.19
3|19,0.22,12.10,2.19,0.20
3|20,0.24,12.08,2.20,0.20
3|21,0.27,12.05,2.21,0.22
3|22,0.29,12.02,2.22,0.23
3|23,0.31,11.99,2.23,0.24
3|24,0.34,11.97,2.24,0.25
3|25,0.36,11.94,2.25,0.26
3|26,0.38,11.91,2.26,0.27
3|27,0.42,11.88,2.27,0.28
3|28,0.44,11.85,2.28,0.28
3|29,0.46,11.83,2.29,0.30
3|30,0.48,11.80,2.30,0.31
3|31,0.52,11.77,2.31,0.32
3|32,0.54,11.74,2.32,0.33
3|33,0.56,11.72,2.33,0.34
3|34,0.61,11.69,2.34,0.35
3|35,0.63,11.66,2.35,0.36
3|36,0.65,11.63,2.36,0.37
3|37,0.69,11.60,2.37,0.38
3|38,0.71,11.58,2.38,0.39
3|39,0.74,11.55,2.39,0.40
3|40,0.78,11.51,2.41,0.41
3|41,0.80,11.48,2.42,0.42
3|42,0.85,11.45,2.43,0.43
3|43,0.87,11.42,2.44,0.44
3|44,0.89,11.40,2.45,0.45
3|45,0.94,11.37,2.46,0.46
3|46,0.96,11.34,2.47,0.47
3|47,0.99,11.31,2.48,0.48
3|48,1.03,11.29,2.49,0.49
3|49,1.06,11.26,2.50,0.50
3|50,1.08,11.23,2.51,0.51
3|51,1.10,11.20,2.52,0.52
3|52,1.15,11.18,2.53,0.53
3|53,1.18,11.15,2.54,0.54
3|54,1.20,11.12,2.55,0.55
3|55,1.25,11.09,2.56,0.56
3|56,1.28,11.06,2.57,0.57
3|57,1.30,11.04,2.58,0.58
3|58,1.35,11.01,2.59,0.59
3|59,1.38,10.98,2.60,0.60
3|60,1.40,10.95,2.61,0.61
3|61,1.43,10.93,2.62,0.62
3|62,1.48,10.90,2.63,0.63
3|63,1.50,10.87,2.64,0.64
3|64,1.53,10.84,2.65,0.65
3|65,1.58,10.82,2.66,0.66
3|66,1.61,10.79,2.67,0.67
3|67,1.64,10.76,2.68,0.68
3|68,1.69,10.73,2.69,0.69
3|69,1.72,10.70,2.70,0.70
3|70,1.75,10.68,2.71,0.71
3|71,1.80,10.65,2.72,0.72
3|72,1.83,10.62,2.73,0.73
3|73,1.86,10.59,2.74,0.74
3|74,1.89,10.57,2.75,0.75
3|75,1.94,10.54,2.76,0.76
3|76,1.97,10.51,2.77,0.77
3|77,2.00,10.48,2.78,0.78
3|78,2.06,10.46,2.79,0.79
3|79,2.09,10.43,2.80,0.80
3|80,2.12,10.40,2.81,0.81
3|81,2.18,10.37,2.82,0.82
3|82,2.21,10.34,2.83,0.83
3|83,2.24,10.32,2.84,0.84
3|84,2.27,10.29,2.85,0.85
3|85,2.34,10.26,2.86,0.86
3|86,2.37,10.23,2.87,0.87
3|87,2.40,10.21,2.88,0.88
3|88,2.47,10.18,2.89,0.89
3|89,2.50,10.15,2.90,0.90
3|90,2.56,10.11,2.91,0.92
3|91,2.60,10.09,2.92,0.93
3|92,2.67,10.06,2.93,0.94
3|93,2.70,10.04,2.94,0.95
3|94,2.73,10.03,2.95,0.95
3|95,2.76,10.02,2.96,0.97
3|96,2.82,10.01,2.97,0.98
3|97,2.85,10.01,2.98,0.99
3|98,2.88,10.00,2.99,1.00
4|1,3.03,9.99,3.01,0.01
4|2,3.03,9.99,3.02,0.02
4|3,3.02,10.00,3.03,0.03
4|4,3.02,10.01,3.04,0.05
4|5,3.00,10.02,3.05,0.06
4|6,2.99,10.04,3.06,0.06
4|7,2.98,10.05,3.07,0.07
4|8,2.96,10.07,3.08,0.08
4|9,2.93,10.10,3.09,0.09
4|10,2.91,10.12,3.10,0.10
4|11,2.88,10.15,3.11,0.11
4|12,2.83,10.18,3.12,0.13
4|13,2.79,10.21,3.13,0.14
4|14,2.76,10.24,3.14,0.15
4|15,2.69,10.26,3.15,0.15
4|16,2.65,10.29,3.16,0.16
4|17,2.61,10.32,3.17,0.17
