SegIndex,Fn in N,η in mPas,h in mm,t in s,t_seg in s
1|1,28.93966103,0,0.8242020849,31.75200081,0.015001297
1|2,28.89702797,0,0.8226021309,31.76199913,0.02499961853
1|3,28.85505867,0,0.8210521191,31.77199936,0.03499984741
1|4,28.80081749,0,0.820902118,31.78199959,0.04500007629
1|5,28.66275787,0,0.8210020023,31.79199982,0.05500030518
1|6,28.58262634,0,0.820952002,31.80200005,0.06500053406
1|7,28.49724197,0,0.8208020008,31.81200027,0.07500076294
1|8,28.31603813,0,0.8207020001,31.8220005,0.08500099182
1|9,28.22241402,0,0.8205019985,31.83200073,0.0950012207
1|10,28.12807846,0,0.8201019373,31.84199905,0.1049995422
1|11,27.94087791,0,0.8196019335,31.85199928,0.1149997711
1|12,27.84964371,0,0.8193019312,31.86199951,0.125
1|13,27.76097107,0,0.8188019274,31.87199974,0.1350002289
1|14,27.67550087,0,0.8182518068,31.88199997,0.1450004578
1|15,27.51614952,0,0.8178018034,31.8920002,0.1550006866
1|16,27.44296455,0,0.8173517999,31.90200043,0.1650009155
1|17,27.37440872,0,0.8170017973,31.91200066,0.1750011444
1|18,27.2514801,0,0.8167018532,31.92200089,0.1850013733
1|19,27.19691849,0,0.8165019099,31.93199921,0.1949996948
1|20,27.14663506,0,0.8163519087,31.94199944,0.2049999237
1|21,27.05748558,0,0.8163018501,31.95199966,0.2150001526
1|22,27.01776886,0,0.816151849,31.96199989,0.2250003815
1|23,26.98071861,0,0.8159018471,31.97200012,0.2350006104
1|24,26.94605637,0,0.8155518444,31.98200035,0.2450008392
1|25,26.88322449,0,0.8151518996,31.99200058,0.2550010681
1|26,26.85502434,0,0.8147018962,32.0019989,0.2649993896
1|27,26.82906723,0,0.8142518927,32.01200104,0.2750015259
1|28,26.78434372,0,0.8137518307,32.02199936,0.2849998474
1|29,26.76586723,0,0.8132018265,32.0320015,0.2950019836
1|30,26.75016403,0,0.8126518223,32.04199982,0.3050003052
1|31,26.72740746,0,0.8122018189,32.05199814,0.3149986267
1|32,26.7204113,0,0.8118518163,32.06200027,0.3250007629
1|33,26.71622086,0,0.811551814,32.0719986,0.3349990845
1|34,26.71463203,0,0.8114017546,32.08200073,0.3450012207
1|35,26.71778297,0,0.8113517542,32.09199905,0.3549995422
1|36,26.72166252,0,0.8111518109,32.10200119,0.3650016785
1|37,26.72647858,0,0.8109017508,32.11199951,0.375
1|38,26.73772812,0,0.8105517481,32.12200165,0.3850021362
1|39,26.74389839,0,0.8101518033,32.13199997,0.3950004578
1|40,26.7575779,0,0.8094017976,32.14699936,0.4099998474
1|41,26.76539612,0,0.8089017356,32.1570015,0.4200019836
1|42,26.78396606,0,0.8083517314,32.16699982,0.4300003052
1|43,26.79519081,0,0.8078017272,32.17699814,0.4399986267
1|44,26.80801201,0,0.807251723,32.18700027,0.4500007629
1|45,26.8225441,0,0.80685172,32.1969986,0.4599990845
1|46,26.85692596,0,0.8065017755,32.20700073,0.4700012207
1|47,26.87658691,0,0.806301774,32.21699905,0.4799995422
1|48,26.89759827,0,0.8061517146,32.22700119,0.4900016785
1|49,26.94225311,0,0.8061017143,32.23699951,0.5
1|50,26.96509552,0,0.8059017127,32.24700165,0.5100021362
1|51,26.98774147,0,0.8056017687,32.25699997,0.5200004578
1|52,27.03168488,0,0.8052017656,32.26699829,0.5299987793
1|53,27.05291557,0,0.8048017626,32.27700043,0.5400009155
1|54,27.07378769,0,0.8042517584,32.28699875,0.5499992371
1|55,27.09448624,0,0.8038016967,32.29700089,0.5600013733
1|56,27.13638115,0,0.8032516926,32.30699921,0.5699996948
1|57,27.15807152,0,0.8027516888,32.31700134,0.5800018311
1|58,27.18056297,0,0.8022016846,32.32699966,0.5900001526
1|59,27.22864723,0,0.8018016815,32.3370018,0.6000022888
1|60,27.25441742,0,0.8014516206,32.34700012,0.6100006104
1|61,27.28127289,0,0.8012516191,32.35699844,0.6199989319
1|62,27.33748627,0,0.8011015598,32.36700058,0.6300010681
1|63,27.3661747,0,0.8010515594,32.3769989,0.6399993896
1|64,27.39469528,0,0.8008515579,32.38700104,0.6500015259
1|65,27.44974136,0,0.8006515563,32.39699936,0.6599998474
1|66,27.47585487,0,0.8003014955,32.4070015,0.6700019836
1|67,27.50101471,0,0.7999014924,32.41699982,0.6800003052
1|68,27.52532768,0,0.7994515472,32.42699814,0.6899986267
1|69,27.57230568,0,0.7990515442,32.43700027,0.7000007629
1|70,27.59547615,0,0.7984515396,32.4469986,0.7099990845
1|71,27.61881638,0,0.7980015362,32.45700073,0.7200012207
1|72,27.66707993,0,0.7975515327,32.46699905,0.7299995422
1|73,27.69238663,0,0.7971515297,32.47700119,0.7400016785
1|74,27.71863937,0,0.796801527,32.48699951,0.75
1|75,27.77386284,0,0.7965515251,32.49700165,0.7600021362
1|76,27.80255508,0,0.796401524,32.50699997,0.7700004578
1|77,27.83163261,0,0.7963515818,32.51699829,0.7799987793
1|78,27.8607235,0,0.7962515228,32.52700043,0.7900009155
1|79,27.91753387,0,0.7960015209,32.53699875,0.7999992371
1|80,27.9447422,0,0.7957014604,32.54700089,0.8100013733
1|81,27.97103691,0,0.7953514578,32.55699921,0.8199996948
1|82,28.02118301,0,0.7949015126,32.56700134,0.8300018311
1|83,28.04540634,0,0.7944015088,32.57699966,0.8400001526
1|84,28.0694046,0,0.7939015049,32.5870018,0.8500022888
1|85,28.11787033,0,0.7934015011,32.59700012,0.8600006104
1|86,28.1428833,0,0.792851497,32.60699844,0.8699989319
1|87,28.16879082,0,0.7924014353,32.61700058,0.8800010681
1|88,28.19575119,0,0.7920014905,32.6269989,0.8899993896
1|89,28.25321579,0,0.7917014882,32.63700104,0.9000015259
1|90,28.31468582,0,0.7914514863,32.65200043,0.9150009155
1|91,28.34625435,0,0.7913514855,32.66199875,0.9249992371
1|92,28.37789917,0,0.7912014844,32.67200089,0.9350013733
1|93,28.44004631,0,0.7909514825,32.68199921,0.9449996948
1|94,28.47011566,0,0.7906014216,32.69200134,0.9550018311
1|95,28.49946785,0,0.7901514182,32.70199966,0.9650001526
1|96,28.5564537,0,0.7896514726,32.7120018,0.9750022888
1|97,28.58452034,0,0.789051468,32.72200012,0.9850006104
1|98,28.61267281,0,0.788551406,32.73199844,0.9949989319
2|1,29.05552483,0,0.7862514467,33.0870018,0.01500320435
2|2,29.01833534,0,0.7863014471,33.09700012,0.02500152588
2|3,28.99924278,0,0.7864013896,33.10699844,0.03499984741
2|4,28.97980118,0,0.7865513908,33.11700058,0.04500198364
2|5,28.93944931,0,0.7868014509,33.1269989,0.05500030518
2|6,28.91815567,0,0.7872514543,33.13700104,0.06500244141
2|7,28.89575958,0,0.7875514566,33.14699936,0.07500076294
2|8,28.84623718,0,0.78800146,33.1570015,0.08500289917
2|9,28.8183918,0,0.7885014638,33.16699982,0.0950012207
2|10,28.78811646,0,0.7889014087,33.17699814,0.1049995422
2|11,28.75523376,0,0.789201411,33.18700027,0.1150016785
2|12,28.68147278,0,0.7894513546,33.1969986,0.125
2|13,28.64074707,0,0.7896013558,33.20700073,0.1350021362
2|14,28.59772491,0,0.7896513562,33.21699905,0.1450004578
2|15,28.50611496,0,0.7897513569,33.22700119,0.155002594
2|16,28.45828247,0,0.7899513002,33.23699951,0.1650009155
2|17,28.40949249,0,0.7902513607,33.24700165,0.1750030518
2|18,28.30962563,0,0.7906013634,33.25699997,0.1850013733
2|19,28.25864792,0,0.7909514243,33.26699829,0.1949996948
2|20,28.20689392,0,0.7914514281,33.27700043,0.2050018311
2|21,28.15422058,0,0.7919014315,33.28699875,0.2150001526
2|22,28.04541588,0,0.7924013771,33.29700089,0.2250022888
2|23,27.98893356,0,0.7928513805,33.30699921,0.2350006104
2|24,27.93084717,0,0.7933513843,33.31700134,0.2450027466
2|25,27.80942154,0,0.7937513874,33.32699966,0.2550010681
2|26,27.74602127,0,0.7941013901,33.3370018,0.2650032043
2|27,27.68089294,0,0.794351392,33.34700012,0.2750015259
2|28,27.54630089,0,0.7945013931,33.35699844,0.2849998474
2|29,27.47743225,0,0.7946013939,33.36700058,0.2950019836
2|30,27.40803719,0,0.7946013939,33.3769989,0.3050003052
2|31,27.33856392,0,0.7948013954,33.38700104,0.3150024414
2|32,27.20085716,0,0.7950514555,33.39699936,0.3250007629
2|33,27.13307953,0,0.7953514578,33.4070015,0.3350028992
2|34,27.06612778,0,0.7957014022,33.41699982,0.3450012207
2|35,26.93453217,0,0.7960514049,33.42699814,0.3549995422
2|36,26.86958504,0,0.7965014083,33.43700027,0.3650016785
2|37,26.80496407,0,0.7969514118,33.4469986,0.375
2|38,26.67577744,0,0.7973514148,33.45700073,0.3850021362
2|39,26.61080933,0,0.7977513596,33.46699905,0.3950004578
2|40,26.47921562,0,0.7984013646,33.48199844,0.4099998474
2|41,26.41239929,0,0.7987013669,33.49200058,0.4200019836
2|42,26.34487724,0,0.7989513688,33.5019989,0.4300003052
2|43,26.20804024,0,0.7991513703,33.51200104,0.4400024414
2|44,26.13915825,0,0.7992514293,33.52199936,0.4500007629
2|45,26.07031441,0,0.7992514293,33.5320015,0.4600028992
2|46,25.93403053,0,0.7994513726,33.54199982,0.4700012207
2|47,25.86720467,0,0.7996513741,33.55199814,0.4799995422
2|48,25.80148125,0,0.7999513182,33.56200027,0.4900016785
2|49,25.67336655,0,0.8003013791,33.5719986,0.5
2|50,25.61075401,0,0.8007013821,33.58200073,0.5100021362
2|51,25.54885101,0,0.8011013269,33.59199905,0.5200004578
2|52,25.48741913,0,0.8015513304,33.60200119,0.530002594
2|53,25.36493111,0,0.8021013928,33.61199951,0.5400009155
2|54,25.30339622,0,0.8026013966,33.62200165,0.5500030518
2|55,25.24134064,0,0.8030514,33.63199997,0.5600013733
2|56,25.11506271,0,0.8034014027,33.64199829,0.5699996948
2|57,25.05065346,0,0.8037014049,33.65200043,0.5800018311
2|58,24.98543739,0,0.8039514069,33.66199875,0.5900001526
2|59,24.85312653,0,0.804101408,33.67200089,0.6000022888
2|60,24.78657532,0,0.8041514084,33.68199921,0.6100006104
2|61,24.72021103,0,0.8042514091,33.69200134,0.6200027466
2|62,24.58929443,0,0.8045014692,33.70199966,0.6300010681
2|63,24.52518082,0,0.8047514712,33.7120018,0.6400032043
2|64,24.46207237,0,0.8051013574,33.72200012,0.6500015259
2|65,24.39994049,0,0.8055014187,33.73199844,0.6599998474
2|66,24.27800751,0,0.8060014225,33.74200058,0.6700019836
2|67,24.2177639,0,0.8064514841,33.7519989,0.6800003052
2|68,24.15762711,0,0.8069014875,33.76200104,0.6900024414
2|69,24.03679657,0,0.8074014913,33.77199936,0.7000007629
2|70,23.97566986,0,0.8079514373,33.7820015,0.7100028992
2|71,23.91382027,0,0.8084014989,33.79199982,0.7200012207
2|72,23.78758621,0,0.8087515016,33.80199814,0.7299995422
2|73,23.72321701,0,0.8090015617,33.81200027,0.7400016785
2|74,23.65818024,0,0.8092015632,33.8219986,0.75
2|75,23.59269142,0,0.809301564,33.83200073,0.7600021362
2|76,23.46163177,0,0.8093515062,33.84199905,0.7700004578
2|77,23.39676857,0,0.8095515077,33.85200119,0.780002594
2|78,23.33270454,0,0.8098515682,33.86199951,0.7900009155
2|79,23.20744514,0,0.8101515705,33.87200165,0.8000030518
2|80,23.14625549,0,0.8105515735,33.88199997,0.8100013733
2|81,23.085886,0,0.8109515766,33.89199829,0.8199996948
2|82,22.96685982,0,0.8114515804,33.90200043,0.8300018311
2|83,22.90777016,0,0.811901642,33.91199875,0.8400001526
2|84,22.84861946,0,0.8124516462,33.92200089,0.8500022888
2|85,22.789217,0,0.8129016496,33.93199921,0.8600006104
2|86,22.66895676,0,0.8133516531,33.94200134,0.8700027466
2|87,22.60787201,0,0.8136516553,33.95199966,0.8800010681
2|88,22.54613113,0,0.8139016572,33.9620018,0.8900032043
2|89,22.42103004,0,0.8141016006,33.97200012,0.9000015259
2|90,22.29514313,0,0.8142516599,33.98699951,0.9150009155
2|91,22.23258781,0,0.8143516607,33.99700165,0.9250030518
2|92,22.17077827,0,0.8145016618,34.00699997,0.9350013733
2|93,22.05031204,0,0.8148016641,34.01699829,0.9449996948
2|94,21.99188995,0,0.815051666,34.02700043,0.9550018311
2|95,21.93467712,0,0.8153516101,34.03699875,0.9650001526
2|96,21.87860489,0,0.8155516698,34.04700089,0.9750022888
2|97,21.76954269,0,0.8157517295,34.05699921,0.9850006104
2|98,21.71639252,0,0.8159017307,34.06700134,0.9950027466
3|1,20.89059448,0,0.8163519087,34.22700119,0.01499938965
3|2,20.86808395,0,0.8163019083,34.23699951,0.02499771118
3|3,20.82725334,0,0.8161019068,34.24700165,0.03499984741
3|4,20.80907059,0,0.8159018471,34.25699997,0.04499816895
3|5,20.79254532,0,0.8157018456,34.26699829,0.05499649048
3|6,20.77780151,0,0.8155519608,34.27700043,0.06499862671
3|7,20.75392151,0,0.8155019605,34.28699875,0.07499694824
3|8,20.74466896,0,0.8154519601,34.29700089,0.08499908447
3|9,20.73705673,0,0.8152519586,34.30699921,0.09499740601
3|10,20.72646332,0,0.8150020149,34.31700134,0.1049995422
3|11,20.72345734,0,0.8146520122,34.32699966,0.1149978638
3|12,20.72208405,0,0.8142520091,34.3370018,0.125
3|13,20.72490692,0,0.8138020057,34.34700012,0.1349983215
3|14,20.72946739,0,0.8132520015,34.35699844,0.1449966431
3|15,20.73635483,0,0.8128020563,34.36700058,0.1549987793
3|16,20.74578094,0,0.8123020525,34.3769989,0.1649971008
3|17,20.77282143,0,0.8118521073,34.38700104,0.1749992371
3|18,20.79065895,0,0.8114521042,34.39699936,0.1849975586
3|19,20.81136513,0,0.8112021605,34.4070015,0.1949996948
3|20,20.86097908,0,0.8109521586,34.41699982,0.2049980164
3|21,20.88934708,0,0.8108521579,34.42699814,0.2149963379
3|22,20.91957092,0,0.8108522161,34.43700027,0.2249984741
3|23,20.98388672,0,0.8106022142,34.4469986,0.2349967957
3|24,21.01727486,0,0.8102521533,34.45700073,0.2449989319
3|25,21.05117989,0,0.8098521503,34.46699905,0.2549972534
3|26,21.08556175,0,0.8094021468,34.47700119,0.2649993896
3|27,21.15616226,0,0.8090021438,34.48699951,0.2749977112
3|28,21.19268227,0,0.8084521396,34.49700165,0.2849998474
3|29,21.23026466,0,0.8078021347,34.50699997,0.2949981689
3|30,21.30945587,0,0.8072521887,34.51699829,0.3049964905
3|31,21.35142899,0,0.8067521267,34.52700043,0.3149986267
3|32,21.3951683,0,0.8063521236,34.53699875,0.3249969482
3|33,21.48777771,0,0.8060521795,34.54700089,0.3349990845
3|34,21.53633308,0,0.805852178,34.55699921,0.344997406
3|35,21.58603668,0,0.8057021769,34.56700134,0.3549995422
3|36,21.68733025,0,0.8057021769,34.57699966,0.3649978638
