SegIndex,t in s,t_seg in s,f in Hz,G' in Pa,"G"" in Pa",|η*| in mPas,ɣ in %,T in °C
1|1,240.4109955,59.99198914,0.1000000015,7126.078125,327.4776001,11353474.61,0.07009157562,36.99916992
1|2,288.0589905,107.6399841,0.1258925498,7083.428711,307.2318115,8963378.906,0.07052507717,36.99959717
1|3,325.9060059,145.4869995,0.1584893167,7091.57666,308.5173645,7128096.191,0.07044395315,36.99916992
1|4,355.9670105,175.5480042,0.1995262355,7106.225098,311.7573547,5673833.984,0.07029658882,37.00039063
1|5,379.8439941,199.4249878,0.2511886358,7135.45166,306.9379272,4525254.883,0.07001651102,37.0012146
1|6,398.8059998,218.3869934,0.3162277639,7160.991211,306.4977112,3607370.361,0.06976878503,37.00090942
1|7,413.8670044,233.447998,0.3981072009,7194.842773,309.7930603,2879012.695,0.06944962661,37.00054321
1|8,445.7810059,265.3619995,0.5011872053,7207.937988,318.1906738,2291152.344,0.06932814722,36.99968872
1|9,471.1279907,290.7089844,0.630957365,7237.257324,322.2229309,1827360.229,0.06906752242,37.00002441
1|10,491.2609863,310.84198,0.7943283319,7275.809082,325.4156799,1459268.921,0.0687315769,36.99727783
1|11,507.2510071,326.8320007,1,7309.593262,338.6920166,1164606.079,0.06844519521,36.99984131
1|12,519.9500122,339.5310059,1.258925438,7348.888184,341.1495361,930056.2134,0.06814662484,36.9996582
1|13,530.0339966,349.6149902,1.584893346,7401.77002,348.413269,744108.5205,0.06777551025,37.00209961
1|14,538.0419922,357.6229858,1.995262623,7446.459961,359.1435242,594667.8467,0.06752447225,36.9991394
1|15,544.4019775,363.9829712,2.511886358,7488.20752,366.2426147,475025.4211,0.0674134877,36.99978027
1|16,549.4500122,369.0310059,3.162277699,7534.89502,377.5401001,379701.0498,0.06741814432,37.00063477
1|17,553.4589844,373.039978,3.981071949,7585.927246,389.5963135,303669.22,0.06763719139,37.00081787
1|18,560.8309937,380.4119873,5.011872768,7637.477051,403.7303162,242871.1548,0.06826416356,36.9999939
1|19,566.6849976,386.2659912,6.309574604,7677.859863,418.5461731,193956.604,0.06968586822,37.00072632
1|20,571.3330078,390.9140015,7.943282127,7725.955078,432.7261353,155043.0908,0.07223790744,37.00057373
1|21,575.0230103,394.6040039,10,7795.122559,444.2079468,124264.5035,0.07678756956,37.00209961
1|22,577.9509888,397.5319824,12.58925819,7848.270996,462.2901917,99390.77759,0.08613024838,37.00097046
1|23,580.2750244,399.8560181,15.84893322,7906.456543,472.3802795,79538.19275,0.1073231106,37.00084839
1|24,582.1190186,401.7000122,19.95262146,7960.463379,459.9259033,63603.66821,0.1780467923,37.00097046
1|25,584.8959961,404.4769897,25.11886978,8006.72998,411.9367065,50798.30933,0.9705979377,37.00036011
1|26,587.0999756,406.6809692,31.62277603,8074.226074,301.5992737,40665.2832,0.1013302244,37.00002441
1|27,588.8480225,408.4290161,39.81072998,8167.572754,136.9778748,32656.83365,0.03997993772,36.99959717
1|28,590.2360229,409.8170166,50.11872864,8401.424805,154.7080231,26683.73489,0.02048992319,36.99974976
1|29,591.3359985,410.9169922,63.09572601,9334.867188,712.678894,23615.12947,0.01172545308,36.99981079
1|30,592.2059937,411.7869873,79.43283844,11428.03418,13.99032497,22897.70126,0.00702962061,37.000177
1|31,592.8959961,412.4769897,100,16868.68945,645.0830688,26866.97578,0.00438138668,37.00036011
2|1,609.197998,15.99298096,1,0.03941653669,39.41655731,6273.343086,4172.62001,37.00036011
2|2,621.1970215,27.99200439,1,0.03639395162,36.39401627,5792.290211,4499.440384,37.00078735
2|3,633.1970215,39.99200439,1,0.03506471589,35.06476593,5580.733299,4671.956635,37.00328979
2|4,645.1950073,51.98999023,1,0.03409490734,34.09486008,5426.368237,4823.994064,37.00234375
2|5,657.197998,63.99298096,1,0.03381888941,33.81887054,5382.442951,4877.405548,37.00136719
2|6,669.1939697,75.98895264,1,0.03480867296,34.80865097,5539.971352,4787.82196,36.99953613
2|7,681.1970215,87.99200439,1,0.03617417812,36.17414474,5757.296562,4640.279007,37.00139771
2|8,693.1989746,99.99395752,1,0.07796125859,12.90116978,2053.322315,10236.82556,37.00042114
2|9,705.1950073,111.9899902,1,0.1469793618,0.8371938467,135.2813691,15217.72461,36.99996338
3|1,945.6699829,59.99298096,0.1000000015,251.9086151,15.31895447,401665.6189,1.98208876,37.00008545
3|2,993.3170166,107.6400146,0.1258925498,254.3874969,15.02317524,322160.2173,1.963557862,36.99923096
3|3,1031.16394,145.4869385,0.1584893167,256.1486206,14.97603226,257663.6658,1.951128989,36.99987183
3|4,1061.224976,175.5479736,0.1995262355,258.0941162,15.08089733,206223.6023,1.937661134,36.99920044
3|5,1085.102051,199.4250488,0.2511886358,259.9049377,15.25673294,164961.1359,1.926321536,37.00087891
3|6,1104.063965,218.3869629,0.3162277639,261.788269,15.40263939,131983.8409,1.915885881,37.00109253
3|7,1119.125,233.447998,0.3981072009,263.6852112,15.64865112,105601.3031,1.907401532,37.00106201
3|8,1151.040039,265.3630371,0.5011872053,265.6561584,15.6495657,84506.91986,1.901759952,37.00048218
3|9,1176.387939,290.7109375,0.630957365,267.4708862,16.0178833,67588.68408,1.90223176,37.00176392
3|10,1196.520996,310.8439941,0.7943283319,269.4763184,16.32425117,54092.38052,1.909444295,37.00112305
3|11,1212.510986,326.8339844,1,271.4827271,16.64424133,43288.94424,1.929428242,36.9989563
3|12,1225.209961,339.532959,1.258925438,273.3573608,17.01136017,34625.03433,1.972413249,37.00063477
3|13,1235.293945,349.6169434,1.584893346,275.3623047,17.51755714,27707.7713,2.053244784,36.99962769
3|14,1243.302002,357.625,1.995262623,277.5084229,17.91516495,22181.93054,2.20498573,36.99886475
3|15,1249.662964,363.9859619,2.511886358,279.2738953,18.52088928,17733.86765,2.518338896,37.00011597
3|16,1254.71106,369.0340576,3.162277699,279.640686,19.32402229,14107.65839,3.298004344,36.99871216
3|17,1258.718994,373.0419922,3.981071949,239.5948792,34.77286911,9678.853989,9.089679271,36.99837646
3|18,1266.090942,380.4139404,5.011872768,240.1947021,43.81123352,7753.365517,4.923719168,37.00014648
3|19,1271.944946,386.2679443,6.309574604,273.8574219,29.87421608,6948.856354,2.017781138,36.99993286
3|20,1276.593018,390.9160156,7.943282127,293.6671448,20.1241188,5897.837639,0.9454542771,36.99984131
3|21,1280.282959,394.605957,10,310.4376221,16.41926384,4947.674274,0.5039816722,36.9999939
3|22,1283.212036,397.5350342,12.58925819,327.888855,24.22143364,4156.506062,0.2878975356,37.00081787
3|23,1285.536011,399.8590088,15.84893322,352.130249,40.4937973,3559.395075,0.1711666933,37.00139771
3|24,1287.380005,401.7030029,19.95262146,395.0200806,96.99298859,3244.528532,0.1042547054,37.00130615
3|25,1290.157959,404.480957,25.11886978,414.7739563,17.79110146,2630.453825,0.06397052202,37.00209961
3|26,1292.362061,406.6850586,31.62277603,359.2289429,121.151741,1908.022761,0.03937968868,37.00158081
3|27,1294.109985,408.4329834,39.81072998,186.3672638,146.1909332,946.932435,0.02433902264,37.00100098
3|28,1295.495972,409.8189697,50.11872864,270.9698486,41.58103561,870.5527186,0.01523670071,37.00127563
3|29,1296.595947,410.9189453,63.09572601,498.5209961,1770.546021,4639.744282,0.009488169599,37.00057373
3|30,1297.465942,411.7889404,79.43283844,1302.213745,1904.419312,4622.541904,0.00593640325,37.00057373
3|31,1298.156006,412.4790039,100,3345.845215,10634.83594,17743.77251,0.00377360484,37.00097046
