SegIndex,Fn in N,η in mPas,h in mm,t in s,t_seg in s
1|1,9.541326523,0,1.092202845,91.8769989,0.01499938965
1|2,9.530910492,0,1.090302831,91.88700104,0.02500152588
1|3,9.515750885,0,1.09020283,91.89700317,0.03500366211
1|4,9.474872589,0,1.08995277,91.90699768,0.04499816895
1|5,9.451792717,0,1.089402824,91.91699982,0.05500030518
1|6,9.428670883,0,1.089202822,91.92700195,0.06500244141
1|7,9.385523796,0,1.088502817,91.93699646,0.07499694824
1|8,9.366551399,0,1.087452751,91.9469986,0.08499908447
1|9,9.349938393,0,1.086252858,91.95700073,0.0950012207
1|10,9.336221695,0,1.08515285,91.96700287,0.1050033569
1|11,9.319286346,0,1.084552845,91.97699738,0.1149978638
1|12,9.316641808,0,1.084252843,91.98699951,0.125
1|13,9.317862511,0,1.083802781,91.99700165,0.1350021362
1|14,9.330905914,0,1.082952833,92.00700378,0.1450042725
1|15,9.342186928,0,1.081902767,92.01699829,0.1549987793
1|16,9.356492043,0,1.080702874,92.02700043,0.1650009155
1|17,9.39452076,0,1.079802867,92.03700256,0.1750030518
1|18,9.418474197,0,1.079352922,92.04699707,0.1849975586
1|19,9.445633888,0,1.079202979,92.05699921,0.1949996948
1|20,9.475613594,0,1.078402973,92.06700134,0.2050018311
1|21,9.542539597,0,1.077453024,92.07700348,0.2150039673
1|22,9.578952789,0,1.076403074,92.08699799,0.2249984741
1|23,9.61725235,0,1.075403066,92.09700012,0.2350006104
1|24,9.69985199,0,1.074803062,92.10700226,0.2450027466
1|25,9.744170189,0,1.07460306,92.11699677,0.2549972534
1|26,9.790250778,0,1.074103056,92.1269989,0.2649993896
1|27,9.886339188,0,1.073252992,92.13700104,0.2750015259
1|28,9.935779572,0,1.072152983,92.14700317,0.2850036621
1|29,9.986096382,0,1.071053091,92.15699768,0.2949981689
1|30,10.03749371,0,1.070153085,92.16699982,0.3050003052
1|31,10.14419746,0,1.069703023,92.17700195,0.3150024414
1|32,10.19953156,0,1.069453079,92.18699646,0.3249969482
1|33,10.25588036,0,1.068653073,92.1969986,0.3349990845
1|34,10.37055397,0,1.067453064,92.20700073,0.3450012207
1|35,10.42867088,0,1.066353056,92.21700287,0.3550033569
1|36,10.48744106,0,1.065253047,92.22699738,0.3649978638
1|37,10.60792065,0,1.064702868,92.23699951,0.375
1|38,10.66981697,0,1.064502867,92.24700165,0.3850021362
1|39,10.73258686,0,1.063953037,92.25700378,0.3950042725
1|40,10.85960579,0,1.062402967,92.27200317,0.4100036621
1|41,10.92344475,0,1.0612529,92.28199768,0.4199981689
1|42,11.0521574,0,1.060252893,92.29199982,0.4300003052
1|43,11.11746502,0,1.059702947,92.30200195,0.4400024414
1|44,11.18358421,0,1.059553004,92.31199646,0.4499969482
1|45,11.31767559,0,1.058952999,92.3219986,0.4599990845
1|46,11.38506508,0,1.05800305,92.33200073,0.4700012207
1|47,11.45240974,0,1.056952984,92.34200287,0.4800033569
1|48,11.58715153,0,1.055903034,92.35199738,0.4899978638
1|49,11.65489006,0,1.055203029,92.36199951,0.5
1|50,11.72311687,0,1.054853084,92.37200165,0.5100021362
1|51,11.79179668,0,1.05450314,92.38200378,0.5200042725
1|52,11.9296608,0,1.053753193,92.39199829,0.5299987793
1|53,11.99835777,0,1.05270301,92.40200043,0.5400009155
1|54,12.06682491,0,1.051603002,92.41200256,0.5500030518
1|55,12.20385361,0,1.050553052,92.42199707,0.5599975586
1|56,12.27298927,0,1.050002989,92.43199921,0.5699996948
1|57,12.34280396,0,1.049853163,92.44200134,0.5800018311
1|58,12.48378658,0,1.049153158,92.45200348,0.5900039673
1|59,12.55444527,0,1.048003207,92.46199799,0.5999984741
1|60,12.62511635,0,1.04685314,92.47200012,0.6100006104
1|61,12.76705647,0,1.045753132,92.48200226,0.6200027466
1|62,12.83890343,0,1.045003184,92.49199677,0.6299972534
1|63,12.91162777,0,1.044653123,92.5019989,0.6399993896
1|64,12.98515701,0,1.04425312,92.51200104,0.6500015259
1|65,13.1334877,0,1.043403172,92.52200317,0.6600036621
1|66,13.20769691,0,1.042303164,92.53199768,0.6699981689
1|67,13.28187084,0,1.041103154,92.54199982,0.6800003052
1|68,13.43100452,0,1.040203148,92.55200195,0.6900024414
1|69,13.50648689,0,1.03970326,92.56199646,0.6999969482
1|70,13.58272743,0,1.039553317,92.5719986,0.7099990845
1|71,13.73650646,0,1.038803253,92.58200073,0.7200012207
1|72,13.81339169,0,1.037853304,92.59200287,0.7300033569
1|73,13.8900528,0,1.036803238,92.60199738,0.7399978638
1|74,13.9665699,0,1.03580323,92.61199951,0.75
1|75,14.12001896,0,1.0351534,92.62200165,0.7600021362
1|76,14.19732285,0,1.034903224,92.63200378,0.7700042725
1|77,14.27491951,0,1.034453278,92.64199829,0.7799987793
1|78,14.42972565,0,1.033653272,92.65200043,0.7900009155
1|79,14.50644684,0,1.032553264,92.66200256,0.8000030518
1|80,14.58270454,0,1.03140343,92.67199707,0.8099975586
1|81,14.73489094,0,1.030503423,92.68199921,0.8199996948
1|82,14.81145859,0,1.030053361,92.69200134,0.8300018311
1|83,14.88852119,0,1.02985336,92.70200348,0.8400039673
1|84,14.96588421,0,1.029053354,92.71199799,0.8499984741
1|85,15.12036991,0,1.027903287,92.72200012,0.8600006104
1|86,15.19733715,0,1.026803278,92.73200226,0.8700027466
1|87,15.27435493,0,1.025703386,92.74199677,0.8799972534
1|88,15.42976093,0,1.02505344,92.7519989,0.8899993896
1|89,15.50856781,0,1.024853438,92.76200104,0.9000015259
1|90,15.66763401,0,1.023853431,92.77700043,0.9150009155
1|91,15.7472496,0,1.022753422,92.78700256,0.9250030518
1|92,15.90602303,0,1.021653414,92.79699707,0.9349975586
1|93,15.9854784,0,1.020653406,92.80699921,0.9449996948
1|94,16.06534004,0,1.020053402,92.81700134,0.9550018311
1|95,16.14581871,0,1.0198534,92.82700348,0.9650039673
1|96,16.30810356,0,1.019353396,92.83699799,0.9749984741
1|97,16.38921928,0,1.018453389,92.84700012,0.9850006104
1|98,16.46993828,0,1.017553383,92.85700226,0.9950027466
2|1,18.05574417,0,1.015653485,93.22699738,0.01499938965
2|2,18.05126572,0,1.016053488,93.23699951,0.02500152588
2|3,18.04632568,0,1.016803551,93.24700165,0.03500366211
2|4,18.04060936,0,1.017603558,93.25700378,0.04500579834
2|5,18.02469635,0,1.018153504,93.26699829,0.05500030518
2|6,18.01343155,0,1.018353505,93.27700043,0.06500244141
2|7,17.9995842,0,1.018653507,93.28700256,0.07500457764
2|8,17.96403503,0,1.019253512,93.29699707,0.08499908447
2|9,17.9424839,0,1.02010346,93.30699921,0.0950012207
2|10,17.91833496,0,1.021053526,93.31700134,0.1050033569
2|11,17.86131668,0,1.022053533,93.32700348,0.1150054932
2|12,17.82777596,0,1.022753539,93.33699799,0.125
2|13,17.79051781,0,1.023153542,93.34700012,0.1350021362
2|14,17.7495594,0,1.023353543,93.35700226,0.1450042725
2|15,17.65779114,0,1.023953548,93.36699677,0.1549987793
2|16,17.60782051,0,1.024803496,93.3769989,0.1650009155
2|17,17.55555534,0,1.025753445,93.38700104,0.1750030518
2|18,17.44434929,0,1.026803511,93.39700317,0.185005188
2|19,17.38515091,0,1.027703518,93.40699768,0.1949996948
2|20,17.32333565,0,1.028203522,93.41699982,0.2050018311
2|21,17.19193649,0,1.028303523,93.42700195,0.2150039673
