,t in s,t_seg in s,f in Hz,G' in Pa,"G"" in Pa",|η*| in mPas,ɣ in %,T in °C,----,,,,t in s,t_seg in s,f in Hz,G' in Pa,"G"" in Pa",|η*| in mPas,ɣ in %,T in °C,----,,t in s,t_seg in s,f in Hz,G' in Pa,"G"" in Pa",|η*| in mPas,ɣ in %,T in °C,----
1|1,"241,7",60,"0,1",10550,13170,26860000,"0,02955",37, ,,,1|1,"241,9","59,99","0,1",17130,1299,27350000,"0,0291",37, ,1|1,"241,8",60,"0,1",3272,21090,33960000,"0,02342",37, 
1|2,"289,4","107,6","0,1259",17270,1491,21910000,"0,02885",37, ,,,1|2,"289,5","107,6","0,1259",17150,1223,21730000,"0,02909",37, ,1|2,"289,4","107,6","0,1259",3489,21460,27490000,"0,023",37, 
1|3,"327,2","145,5","0,1585",6249,19080,20160000,"0,02175",37, ,,,1|3,"327,4","145,5","0,1585",17450,1117,17560000,"0,02859",37, ,1|3,"327,3","145,5","0,1585",4482,20950,21510000,"0,02332",37, 
1|4,"357,3","175,6","0,1995",17360,1111,13880000,"0,02874",37, ,,,1|4,"357,4","175,5","0,1995",17430,1030,13930000,"0,02864",37, ,1|4,"357,3","175,6","0,1995",15940,16200,18130000,"0,02165",37, 
1|5,"381,1","199,4","0,2512",17560,1130,11150000,"0,02842",37, ,,,1|5,"381,3","199,4","0,2512",17580,"920,8",11160000,"0,0284",37, ,1|5,"381,2","199,4","0,2512",19910,8727,13780000,"0,02174",37, 
1|6,"400,1","218,4","0,3162",17830,1082,8990000,"0,02799",37, ,,,1|6,"400,3","218,4","0,3162",17760,"891,9",8950000,"0,02812",37, ,1|6,"400,2","218,4","0,3162",22770,1270,11480000,"0,02192",37, 
1|7,"415,2","233,5","0,3981",18050,1092,7229000,"0,02765",37, ,,,1|7,"415,3","233,4","0,3981",17810,"845,4",7129000,"0,02804",37, ,1|7,"415,2","233,5","0,3981",23300,1319,9329000,"0,02143",37, 
1|8,"447,1","265,4","0,5012",18030,1053,5735000,"0,02769",37, ,,,1|8,"447,3","265,4","0,5012",17830,"806,4",5666000,"0,02802",37, ,1|8,"447,2","265,4","0,5012",23340,1209,7421000,"0,0214",37, 
1|9,"472,4","290,7","0,631",18070,1036,4566000,"0,02763",37, ,,,1|9,"472,6","290,7","0,631",17880,"792,5",4515000,"0,02794",37, ,1|9,"472,5","290,7","0,631",23550,1256,5950000,"0,0212",37, 
1|10,"492,6","310,8","0,7943",18160,1131,3646000,"0,02749",37, ,,,1|10,"492,7","310,8","0,7943",17950,"812,6",3599000,"0,02785",37, ,1|10,"492,6","310,8","0,7943",23490,1321,4715000,"0,02126",37, 
1|11,"508,6","326,8",1,18320,1177,2921000,"0,02726",37, ,,,1|11,"508,7","326,8",1,18070,"824,7",2880000,"0,02765",37, ,1|11,"508,6","326,8",1,24050,1355,3833000,"0,02077",37, 
1|12,"521,3","339,5","1,259",18440,1219,2336000,"0,02708",37, ,,,1|12,"521,4","339,5","1,259",18140,"846,8",2295000,"0,02757",37, ,1|12,"521,3","339,5","1,259",23480,1327,2973000,"0,02128",37, 
1|13,"531,3","349,6","1,585",18600,1297,1872000,"0,02686",37, ,,,1|13,"531,5","349,6","1,585",18250,"890,6",1834000,"0,02742",37, ,1|13,"531,4","349,6","1,585",23890,1371,2403000,"0,02092",37, 
1|14,"539,3","357,6","1,995",18840,1394,1507000,"0,02653",37, ,,,1|14,"539,5","357,6","1,995",18390,"946,2",1469000,"0,02722",37, ,1|14,"539,4","357,6","1,995",24210,1523,1935000,"0,02066",37, 
1|15,"545,7",364,"2,512",19070,1474,1212000,"0,02625",37, ,,,1|15,"545,9",364,"2,512",18500,1026,1174000,"0,0271",37, ,1|15,"545,8",364,"2,512",24420,1611,1550000,"0,0205",37, 
1|16,"550,8",369,"3,162",19250,1566,972200,"0,02605",37, ,,,1|16,"550,9",369,"3,162",18570,1112,936200,"0,02706",37, ,1|16,"550,8",369,"3,162",24780,1769,1250000,"0,02023",37, 
1|17,"554,8",373,"3,981",19510,1662,782700,"0,0258",37, ,,,1|17,"554,9",373,"3,981",18720,1184,749900,"0,02694",37, ,1|17,"554,8",373,"3,981",24940,1849,999900,"0,02015",37, 
1|18,"562,1","380,4","5,012",19780,1771,630500,"0,02559",37, ,,,1|18,"562,3","380,4","5,012",18870,1340,600800,"0,02689",37, ,1|18,"562,2","380,4","5,012",24910,1905,793400,"0,02027",37, 
1|19,568,"386,3","6,31",20060,1891,508400,"0,02545",37, ,,,1|19,"568,2","386,3","6,31",19100,1458,483200,"0,02681",37, ,1|19,"568,1","386,3","6,31",25220,2150,638500,"0,02015",37, 
1|20,"572,6","390,9","7,943",20370,1991,410100,"0,02543",37, ,,,1|20,"572,8","390,9","7,943",19220,1527,386400,"0,02707",37, ,1|20,"572,7","390,9","7,943",25330,2144,509300,"0,02032",37, 
1|21,"576,3","394,6",10,20610,2102,329800,"0,02573",37, ,,,1|21,"576,5","394,6",10,19430,1632,310300,"0,02746",37, ,1|21,"576,4","394,6",10,25470,2245,406900,"0,02059",37, 
1|22,"579,3","397,5","12,59",20900,2245,265800,"0,02634",37, ,,,1|22,"579,4","397,5","12,59",19600,1782,248800,"0,02835",37, ,1|22,"579,3","397,5","12,59",25760,2394,327000,"0,02099",37, 
