,t in s,t_seg in s,f in Hz,G' in Pa,"G"" in Pa",|η*| in mPas,ɣ in %,T in °C,----
1|1,241.7,60,0.1,10550,13170,26860000,0.02955,37, 
1|2,289.4,107.6,0.1259,17270,1491,21910000,0.02885,37, 
1|3,327.2,145.5,0.1585,6249,19080,20160000,0.02175,37, 
1|4,357.3,175.6,0.1995,17360,1111,13880000,0.02874,37, 
1|5,381.1,199.4,0.2512,17560,1130,11150000,0.02842,37, 
1|6,400.1,218.4,0.3162,17830,1082,8990000,0.02799,37, 
1|7,415.2,233.5,0.3981,18050,1092,7229000,0.02765,37, 
1|8,447.1,265.4,0.5012,18030,1053,5735000,0.02769,37, 
1|9,472.4,290.7,0.631,18070,1036,4566000,0.02763,37, 
1|10,492.6,310.8,0.7943,18160,1131,3646000,0.02749,37, 
1|11,508.6,326.8,1,18320,1177,2921000,0.02726,37, 
1|12,521.3,339.5,1.259,18440,1219,2336000,0.02708,37, 
1|13,531.3,349.6,1.585,18600,1297,1872000,0.02686,37, 
1|14,539.3,357.6,1.995,18840,1394,1507000,0.02653,37, 
1|15,545.7,364,2.512,19070,1474,1212000,0.02625,37, 
1|16,550.8,369,3.162,19250,1566,972200,0.02605,37, 
1|17,554.8,373,3.981,19510,1662,782700,0.0258,37, 
1|18,562.1,380.4,5.012,19780,1771,630500,0.02559,37, 
1|19,568,386.3,6.31,20060,1891,508400,0.02545,37, 
1|20,572.6,390.9,7.943,20370,1991,410100,0.02543,37, 
1|21,576.3,394.6,10,20610,2102,329800,0.02573,37, 
1|22,579.3,397.5,12.59,20900,2245,265800,0.02634,37, 
1|23,581.6,399.9,15.85,21170,2357,213900,0.02769,37, 
1|24,583.4,401.7,19.95,21460,2454,172300,0.03039,37, 
1|25,586.2,404.5,25.12,21710,2550,138500,0.03649,37, 
1|26,588.4,406.7,31.62,21880,2572,110900,0.05464,37, 
1|27,590.1,408.4,39.81,21230,2745,85600,0.1763,37, 
1|28,591.5,409.8,50.12,22110,1746,70430,0.04622,37, 
1|29,592.6,410.9,63.1,22270,374.9,56180,0.0168,37, 
1|30,593.5,411.8,79.43,21580,470.7,43240,0.008205,37, 
1|31,594.2,412.5,100,19190,1788,30670,0.00448,37, 
