SegIndex,t in s,t_seg in s,ɣ in %,|η*| in mPas,f in Hz,T in °C,τ in Pa,G' in Pa,"G"" in Pa"
1|1,196.6,15.99,0.002335,812100,1,37,0.1188,5094,297.8
1|2,212.6,31.98,0.00328,840100,1,37,0.1727,5266,367.4
1|3,228.6,47.97,0.004411,908200,1,37,0.2511,5696,346
1|4,244.6,63.96,0.006696,869700,1,37,0.365,5455,315.5
1|5,260.6,79.95,0.01,846500,1,37,0.5307,5307,349.5
1|6,276.5,95.94,0.01485,829100,1,37,0.7715,5199,326.1
1|7,292.5,111.9,0.02197,814500,1,37,1.122,5106,338.1
1|8,308.5,127.9,0.03203,812400,1,37,1.631,5094,332.8
1|9,324.5,143.9,0.04685,807400,1,37,2.371,5062,337
1|10,340.5,159.9,0.06785,810500,1,37,3.446,5082,337.3
1|11,356.5,175.9,0.09912,806600,1,37,5.011,5057,332.8
1|12,372.5,191.9,0.1446,804000,1,37,7.284,5041,331.9
1|13,388.5,207.9,0.2106,802200,1,37,10.59,5030,331.3
1|14,404.5,223.9,0.307,800200,1,37,15.4,5017,330.5
1|15,420.4,239.8,0.4472,798700,1,37,22.38,5007,332
1|16,436.4,255.8,0.6488,800300,1,37,32.54,5017,332.5
1|17,452.4,271.8,0.9391,803800,1,37,47.31,5039,337.1
1|18,468.4,287.8,1.358,808300,1,37,68.78,5067,348.3
1|19,484.4,303.8,1.987,803000,1,37,99.99,5033,347.9
